original_comment,non_offensive_comment,label
!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,"!!! RT @mayasolovely: As a woman, you should feel comfortable maintaining a clean home. &amp; as a man, contributing by taking the trash out is always appreciated...",2
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,!!!!! RT @mleew17: boy that's unexpected...Tyga made an interesting choice in the first place!,1
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever be in an emotional moment with someone and they start to cry? It can be really confusing.,1
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,!!!!!!!! RT @C_G_Anderson: @viva_based she looks very different in her style,1
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,"!!!!!!!!!!!!! RT @ShenikaRoberts: The things you hear about me might be true or they might be completely untrue, depending on the source who told it to you &#57361;",1
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""","!!!!!!!!!!!!!!!!!!""@T_Madison_x: It’s frustrating when someone claims to be loyal and committed to someone but doesn’t act like it! 😂😂😂""",1
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""","!!!!!!""@__BrighterDays: I cannot just sit up and talk negatively about someone else .. I have too much going on!""",1
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,!!!!&#8220;@selfiequeenbri: cause I'm tired of unnecessary negativity and comparisons between body types!!&#8221;,1
""" &amp; you might not get ya bitch back &amp; thats that """,""" &amp; you might not reconcile with her &amp; that's that """,1
""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",""" @rhythmixx_ :hobbies include: having discussions with Mariam""",1
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",""" Keeks is a very selective person and doesn't engage with everyone "" lol I walked into a conversation like this. Smh",1
""" Murda Gang bitch its Gang Land """,""" Murda Gang — it's Gang Land """,1
""" So hoes that smoke are losers ? "" yea ... go on IG",""" So people that smoke are losers? "" yea ... go on IG",1
""" bad bitches is the only thing that i like """,""" confident and amazing individuals are the only thing that I like """,1
""" bitch get up off me """,""" please get up off me """,1
""" bitch nigga miss me with it """,""" please miss me with it """,1
""" bitch plz whatever """,""" please, whatever """,1
""" bitch who do you love """,""" who do you truly care about """,1
""" bitches get cut off everyday B """,""" People get excluded from my life every day B """,1
""" black bottle &amp; a bad bitch """,""" black bottle &amp; a great person """,1
""" broke bitch cant tell me nothing """,""" someone with differing financial circumstances can't tell me anything """,1
""" cancel that bitch like Nino """,""" cancel that plan like Nino """,1
""" cant you see these hoes wont change """,""" cant you see these individuals won't change """,1
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",""" no, that individual doesn't even do that "" 😂😂😂 the Kermit videos are about to blow up IG",1
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",""" got ya friend carefully walking on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",1
