processed_tweets,class
a girlfriend is almost a bill lowkey so at this point in my life where i should be gettin outta my moms crib i ll rather just have hoes,1
rt bitch nigga,1
rt fuck ur wcw let me see wat ur current bitch look like oowe,1
this niggah is a fool,1
i cheated on of the bitches i had tf lol nobody even wanted to be all committed and shit,1
rt all babies are born hipsters because they come out of the hospital in beanies,1
rt small ass pants bitch,1
rt what s good bitch,1
nobody cares you fucking fag damn you bring bitches water even though youre thirsty as fuck fucknigga,1
there was a reason why i blocked this bitch,1
rt next person i see tweeting that bitch shitting on herself im unfollowing you,1
bitch i work hours a day to protect your freedom fuck you alwaysonwatch globalforceforgood,1
oh hell no fuck you uncle tom bitch i remember yo punk broke ass,1
i m the crazy bitch that will call you times in one hour,1
idk why bitches think they players lol bitches have zero game,1
man bitches love beyonce no punch line,1
it s and y all niggas still fuckin with these hoes go get you a wife bruh wifingsquad,1
rt i seen what you look like not impressed dont talk shit you dirt looking bitch,1
happy birthday bitch,1
mom just called me a rude ass hoe rude,1
i know bitches let s do something this weekend let s bake,1
i never seen a asian or chinese bitch pregnant shit i throught they kids just spawn like call of duty,1
smh rt tyga shoulda knew blacc chyna was a hoe when his son crip walked out her pussy,0
says the old man i hope you can survive another years you silly jigga boo monkey,0
my bad bitch im logged in on everybody shit,1
what s the difference between the three of the nig nog s,1
this fucking little bitch landed on me in the car and really thought i wouldn t kill him,1
raspy ass voice annoying bitch,1
lmao brutal for the nigs who can t get jobs lol,1
the ugliest bitches swear they bad but,1
i got my own legacy bitches fuck yall legacy,1
duh lol me tweeting about eating pussy from the back with my tongue in that made that obvious lol,1
i am that queer gnarles charles and no it wasn t me,1
she was a dirty bitch always beggin for microwaves and catchup and shit so mufuckas always be like bye falicia,1
so niggas wanna be bitches and shit wearing flowers and shit smh y all niggas gay,1
rt give me three wishes i wish i wish i wish you would bitch,1
thinking about getting my nips pierced,1
no hoe shit or roxy shit but dawggg i swear i ain t knw kia no how to fight,1
i guess none of deez rappin ass niggas wanna throw dem bitches wit da big homie,1
rt the only thing more irritating than donald sterling being a cunt is adam silver continually apologizing for him,1
rt the last bitch i fucked was a mixed breed,1
aids fuck smdh u punk bitch,1
but bitches be mad than a mf when they don t know what i m doing amp how i getting it,1
rt dude does his girlfriend s mom trashes her wedding mopes to folk rock explainafilmplotbadly,1
u calling me a pussy but u not bout shit fuck all this talking let s pop shit off then,1
no face no trace pussy boys snatch,1
rt lmfaoo never i be dolo i dont got no niggas amp for my old hoes fuck all them,0
y all whitey gots to pay fo da preparations,0
